sample,cell type
"Mouse hepatocyte, donor5.CNhs14553.11821-124F3",hepatocyte
"Mouse hepatocyte, donor6.CNhs13090.11822-124F4",hepatocyte
"Mouse hepatocyte, donor7.CNhs14554.11823-124F5",hepatocyte
"Mouse hepatocyte, donor8.CNhs13091.11824-124F6",hepatocyte
"hepatocytes, partial hepatectomy, 02hr, biol_rep1.CNhs14450.13583-146D1",hepatocyte
"hepatocytes, partial hepatectomy, 02hr, biol_rep2.CNhs14451.13584-146D2",hepatocyte
"hepatocytes, partial hepatectomy, 02hr, biol_rep3.CNhs14452.13585-146D3",hepatocyte
"hepatocytes, partial hepatectomy, 30hr, biol_rep1.CNhs14453.13586-146D4",hepatocyte
"hepatocytes, partial hepatectomy, 30hr, biol_rep2.CNhs14454.13587-146D5",hepatocyte
"hepatocytes, partial hepatectomy, 30hr, biol_rep3.CNhs14455.13588-146D6",hepatocyte
"hepatocytes, partial hepatectomy, 48hr, biol_rep1.CNhs14456.13589-146D7",hepatocyte
"hepatocytes, partial hepatectomy, 48hr, biol_rep2.CNhs14458.13590-146D8",hepatocyte
"hepatocytes, partial hepatectomy, 48hr, biol_rep3.CNhs14459.13591-146D9",hepatocyte
"hepatocytes, partial hepatectomy, week01, biol_rep1.CNhs14460.13592-146E1",hepatocyte
"hepatocytes, partial hepatectomy, week01, biol_rep2.CNhs14461.13593-146E2",hepatocyte
"hepatocytes, partial hepatectomy, week01, biol_rep3.CNhs14462.13594-146E3",hepatocyte
"hepatocytes, sham operation, biol_rep1.CNhs14447.13580-146C7",hepatocyte
"hepatocytes, sham operation, biol_rep2.CNhs14448.13581-146C8",hepatocyte
"hepatocytes, sham operation, biol_rep3.CNhs14449.13582-146C9",hepatocyte
"hippocampus, adult.CNhs10478.13-16E8",hippocampus
"hippocampus, neonate N00.CNhs11228.627-43G1",hippocampus
"Inner ear stem cells, 1st generation stem cells, pool1.CNhs11929.12215-129E1",inner ear stem cell
"Inner ear stem cells, 4th generation stem cells, pool1.CNhs12544.12216-129E2",inner ear stem cell
"Inner ear stem cells, differentiation, day03, pool1.CNhs12189.12217-129E3",inner ear stem cell
"Inner ear stem cells, differentiation, day10, pool1.CNhs12190.12218-129E4",inner ear stem cell
"intestinal mucosa, adult.CNhs10506.860-29I3",intestinal mucosa
"intestine, adult.CNhs10496.178-9A3",intestine
"intestine, embryo E12.CNhs11019.1251-16I5",intestine
"intestine, embryo E13.CNhs11010.381-16D5",intestine
"intestine, embryo E15.CNhs10602.976-16D8",intestine
"intestine, embryo E16.CNhs10585.463-22H4",intestine
"intestine, embryo E17.CNhs10582.482-18D3",intestine
"intestine, embryo E18.CNhs10526.1289-20F7",intestine
"intestine, neonate N00.CNhs11126.644-26D1",intestine
"intestine, neonate N01.CNhs11192.1322-23E9",intestine
"intestine, neonate N06.CNhs11102.688-20B8",intestine
"intestine, neonate N07.CNhs11095.720-20F2",intestine
"intestine, neonate N10.CNhs11098.755-23A5",intestine
"intestine, neonate N20.CNhs11187.827-18D1",intestine
"intestine, neonate N25.CNhs11121.1352-25E3",intestine
"intestine, neonate N30.CNhs11131.1384-42G1",intestine
"kidney, embryo E14.CNhs10606.411-4I9",kidney
"kidney, embryo E15.CNhs10997.434-16F8",kidney
"kidney, embryo E16.CNhs10584.464-22A5",kidney
"kidney, embryo E17.CNhs11028.483-18I2",kidney
"kidney, embryo E18.CNhs11001.1288-20C7",kidney
"kidney, neonate N00.CNhs11214.646-21G7",kidney
"kidney, neonate N10.CNhs11206.758-6D5",kidney
"kidney, neonate N20.CNhs11113.832-19I1",kidney
"kidney, neonate N25.CNhs11122.1353-25F3",kidney
"kidney, neonate N30.CNhs11203.1385-42H1",kidney
"Mouse Renal epithelial cells, donor1.CNhs14555.11727-123D8",kidney epithelial
"liver, adult pregnant day01.CNhs10466.508-5B2",liver
"liver, embryo E12.CNhs10601.355-15F8",liver
"liver, embryo E13.CNhs10524.378-3H6",liver
"liver, embryo E14.CNhs10594.409-16E1",liver
"liver, embryo E15.CNhs10520.433-16D7",liver
"liver, embryo E16.CNhs10523.462-17F5",liver
"liver, embryo E17.CNhs10510.481-18A3",liver
"liver, embryo E18.CNhs10579.499-43G4",liver
"liver, neonate N00.CNhs11117.641-24F4",liver
"liver, neonate N03.CNhs11123.1345-25G2",liver
"liver, neonate N06.CNhs11101.684-20A8",liver
"liver, neonate N07.CNhs11103.716-20H2",liver
"liver, neonate N10.CNhs11115.751-24B9",liver
"liver, neonate N20.CNhs11220.823-25A3",liver
"liver, neonate N25.CNhs11198.1368-26H1",liver
"liver, neonate N30.CNhs11106.1382-42D1",liver
"Mouse hepatic Sinusoidal Endothelial Cells, donor1.CNhs13209.11830-124G3",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 01week, biol_rep1.CNhs14508.13607-146F7",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 01week, biol_rep2.CNhs14509.13608-146F8",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 01week, biol_rep3.CNhs14510.13609-146F9",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 02hr, biol_rep1.CNhs14504.13598-146E7",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 02hr, biol_rep2.CNhs14399.13599-146E8",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 02hr, biol_rep3.CNhs14400.13600-146E9",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 30hr, biol_rep1.CNhs14402.13601-146F1",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 30hr, biol_rep2.CNhs14403.13602-146F2",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 30hr, biol_rep3.CNhs14506.13603-146F3",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 48hr, biol_rep1.CNhs14404.13604-146F4",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 48hr, biol_rep2.CNhs14405.13605-146F5",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, partial hepatectomy, 48hr, biol_rep3.CNhs14507.13606-146F6",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, sham operation, biol_rep1.CNhs14503.13595-146E4",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, sham operation, biol_rep2.CNhs14502.13596-146E5",liver sinusoidal endothelial cell
"liver sinusoidal endothelial cells, sham operation, biol_rep3.CNhs14398.13597-146E6",liver sinusoidal endothelial cell
"lung, adult.CNhs10474.28-22B1",lung
"lung, embryo E12.CNhs10522.354-16G2",lung
"lung, embryo E14.CNhs10604.404-26F8",lung
"lung, embryo E15.CNhs11020.432-17C5",lung
"lung, embryo E16.CNhs10998.458-17B6",lung
"lung, embryo E17.CNhs10605.480-44A6",lung
"lung, embryo E18.CNhs10583.1287-20I6",lung
"lung, neonate N00.CNhs11224.640-42C6",lung
"lung, neonate N06.CNhs11212.683-20E5",lung
"lung, neonate N07.CNhs11111.715-19A3",lung
"lung, neonate N10.CNhs11219.750-23E6",lung
"lung, neonate N20.CNhs11109.822-18A4",lung
"lung, neonate N25.CNhs11119.1359-25C7",lung
"lung, neonate N30.CNhs11133.1394-42H2",lung
"macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4",macrophage
"macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5",macrophage
"macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5",macrophage
"macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5",macrophage
"macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5",macrophage
"macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6",macrophage
"macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1",macrophage
"macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2",macrophage
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11517.3617-170D7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11617.3689-171D7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14357.3982-173A6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11518.3618-170E7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11618.3690-171E7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11519.3619-170F7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11619.3691-171F7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11520.3620-170G7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11620.3692-171G7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14360.3985-173D6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11521.3621-170H7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11621.3693-171H7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14361.3986-173E6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 002hr, biol_rep1.CNhs11474.3577-170I2",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 002hr, biol_rep2.CNhs11552.3649-171I2",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 002hr, biol_rep3.CNhs11644.3724-172C3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 004hr, biol_rep1.CNhs11475.3578-170A3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 004hr, biol_rep2.CNhs11553.3650-171A3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 004hr, biol_rep3.CNhs11645.3725-172D3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 006hr, biol_rep1.CNhs11476.3579-170B3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 006hr, biol_rep2.CNhs11554.3651-171B3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 006hr, biol_rep3.CNhs11646.3726-172E3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 012hr, biol_rep2.CNhs11555.3652-171C3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 012hr, biol_rep3.CNhs11647.3727-172F3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 024hr, biol_rep1.CNhs11478.3581-170D3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 024hr, biol_rep2.CNhs11556.3653-171D3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 024hr, biol_rep3.CNhs11648.3728-172G3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 028hr, biol_rep1.CNhs11479.3582-170E3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 028hr, biol_rep2.CNhs11557.3654-171E3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 028hr, biol_rep3.CNhs11649.3729-172H3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 036hr, biol_rep1.CNhs11480.3583-170F3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 036hr, biol_rep2.CNhs11558.3655-171F3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 036hr, biol_rep3.CNhs14306.3730-172I3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 048hr, biol_rep1.CNhs11481.3584-170G3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 048hr, biol_rep2.CNhs11559.3656-171G3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 048hr, biol_rep3.CNhs14307.3731-172A4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 072hr, biol_rep1.CNhs11482.3585-170H3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 072hr, biol_rep3.CNhs14308.3732-172B4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 120hr, biol_rep1.CNhs11483.3586-170I3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 120hr, biol_rep2.CNhs11561.3658-171I3",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-13(aaMph), without Mtb, 120hr, biol_rep3.CNhs14309.3733-172C4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11527.3627-170E8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11627.3699-171E8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14367.3992-173B7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11528.3628-170F8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11628.3700-171F8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14368.3993-173C7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11529.3629-170G8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11629.3701-171G8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14369.3994-173D7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11530.3630-170H8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11630.3702-171H8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14370.3995-173E7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11531.3631-170I8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11631.3703-171I8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14371.3996-173F7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 002hr, biol_rep1.CNhs11494.3597-170B5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 002hr, biol_rep3.CNhs11655.3744-172E5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 004hr, biol_rep1.CNhs11495.3598-170C5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 004hr, biol_rep3.CNhs14259.3745-172F5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 006hr, biol_rep1.CNhs11496.3599-170D5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 006hr, biol_rep2.CNhs11574.3671-171D5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 006hr, biol_rep3.CNhs14260.3746-172G5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 012hr, biol_rep1.CNhs11497.3600-170E5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 012hr, biol_rep2.CNhs11575.3672-171E5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 012hr, biol_rep3.CNhs14261.3747-172H5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 024hr, biol_rep1.CNhs11498.3601-170F5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 024hr, biol_rep2.CNhs11576.3673-171F5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 024hr, biol_rep3.CNhs14262.3748-172I5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 024hr, biol_rep4.CNhs14346.3971-173H4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 028hr, biol_rep1.CNhs11502.3602-170G5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 028hr, biol_rep2.CNhs11577.3674-171G5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 028hr, biol_rep3.CNhs14263.3749-172A6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 036hr, biol_rep1.CNhs11503.3603-170H5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 036hr, biol_rep3.CNhs14264.3750-172B6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 048hr, biol_rep1.CNhs11504.3604-170I5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 048hr, biol_rep2.CNhs11579.3676-171I5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 048hr, biol_rep3.CNhs14265.3751-172C6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 072hr, biol_rep1.CNhs11505.3605-170A6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 072hr, biol_rep2.CNhs11580.3677-171A6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 072hr, biol_rep3.CNhs14266.3752-172D6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 120hr, biol_rep1.CNhs11506.3606-170B6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 120hr, biol_rep2.CNhs11581.3678-171B6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4(aaMph), without Mtb, 120hr, biol_rep3.CNhs14267.3753-172E6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11522.3622-170I7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11622.3694-171I7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14362.3987-173F6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11523.3623-170A8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11623.3695-171A8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14363.3988-173G6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11524.3624-170B8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11624.3696-171B8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14364.3989-173H6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11525.3625-170C8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11625.3697-171C8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14365.3990-173I6",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11526.3626-170D8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11626.3698-171D8",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14366.3991-173A7",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 002hr, biol_rep1.CNhs11484.3587-170A4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 002hr, biol_rep2.CNhs11562.3659-171A4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 002hr, biol_rep3.CNhs11650.3734-172D4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 004hr, biol_rep1.CNhs11485.3588-170B4",macrophage - alternatively activated
